937,Reorder Data in Log Files,54.30%,Easy,5.669086975, https://leetcode.com/problems/reorder-data-in-log-files,
200,Number of Islands,46.80%,Medium,5.561995338, https://leetcode.com/problems/number-of-islands,Done
1192,Critical Connections in a Network,48.60%,Hard,5.451163697, https://leetcode.com/problems/critical-connections-in-a-network,
1,Two Sum,45.60%,Easy,5.340332056, https://leetcode.com/problems/two-sum,Done
146,LRU Cache,33.20%,Medium,5.266473619, https://leetcode.com/problems/lru-cache,
973,K Closest Points to Origin,63.80%,Medium,5.155641978, https://leetcode.com/problems/k-closest-points-to-origin,Done
819,Most Common Word,44.80%,Easy,5.044810336, https://leetcode.com/problems/most-common-word,Done
138,Copy List with Random Pointer,36.40%,Medium,5.02865349, https://leetcode.com/problems/copy-list-with-random-pointer,Done
5,Longest Palindromic Substring,29.50%,Medium,4.917821849, https://leetcode.com/problems/longest-palindromic-substring,
994,Rotting Oranges,49.20%,Medium,4.806990208, https://leetcode.com/problems/rotting-oranges,Done
42,Trapping Rain Water,48.90%,Hard,4.697248826, https://leetcode.com/problems/trapping-rain-water,
23,Merge k Sorted Lists,40.20%,Hard,4.599324597, https://leetcode.com/problems/merge-k-sorted-lists,
763,Partition Labels,76.10%,Medium,4.548324962, https://leetcode.com/problems/partition-labels,
2,Add Two Numbers,33.90%,Medium,4.437493321, https://leetcode.com/problems/add-two-numbers,
20,Valid Parentheses,39.00%,Easy,4.362623996, https://leetcode.com/problems/valid-parentheses,Done
21,Merge Two Sorted Lists,53.50%,Easy,4.322317226, https://leetcode.com/problems/merge-two-sorted-lists,Done
127,Word Ladder,29.60%,Medium,4.310600785, https://leetcode.com/problems/word-ladder,
295,Find Median from Data Stream,44.30%,Hard,4.291988229, https://leetcode.com/problems/find-median-from-data-stream,
297,Serialize and Deserialize Binary Tree,47.50%,Hard,4.291093717, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,
692,Top K Frequent Words,51.80%,Medium,4.255293917, https://leetcode.com/problems/top-k-frequent-words,
572,Subtree of Another Tree,44.10%,Easy,4.159077466, https://leetcode.com/problems/subtree-of-another-tree,Done
240,Search a 2D Matrix II,43.20%,Medium,4.048245825, https://leetcode.com/problems/search-a-2d-matrix-ii,
126,Word Ladder II,22.10%,Hard,4.024013334, https://leetcode.com/problems/word-ladder-ii,
472,Concatenated Words,43.70%,Hard,3.921598334, https://leetcode.com/problems/concatenated-words,
642,Design Search Autocomplete System,44.70%,Hard,3.866784666, https://leetcode.com/problems/design-search-autocomplete-system,
957,Prison Cells After N Days,40.70%,Medium,3.849230543, https://leetcode.com/problems/prison-cells-after-n-days,
121,Best Time to Buy and Sell Stock,50.50%,Easy,3.815410005, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Done
273,Integer to English Words,27.10%,Hard,3.751742975, https://leetcode.com/problems/integer-to-english-words,
